"Description","Disease"
"yellow leaves","Nitrogen deficiency"
"Stunted Growth","Nitrogen Deficiency"
"White Powder","Powdery Mildew"
"Curling Leaves","Powdery Mildew"
"Black Spots","Fungal Infection"
"Leaf Fall","Fungal Infection"
"Holes In Leaves","Pest Infestation"
"Visible Bugs","Pest Infestation"
Wilting,"Root Rot"
"Silver Patches","Thrips Damage"
"Slime Trails","Slugs Or Snails"
"Fuzzy Grey Mold","Botrytis (gray Mold)"
"Concentric Rings","Early Blight"
"Water Soaked Spots","Bacterial Spot"
"Yellowing Between Veins","Magnesium Deficiency"
"Crinkled Leaves","Leaf Curl Virus"
"Black Stem Base",Blackleg
"Hard Bumps On Stems","Scale Insects"
"Tunneling In Fruit","Fruit Fly Larvae"
"Skeletonized Leaves","Japanese Beetle"
"Bronzing Of Leaves","Spider Mites (advanced)"
"White Cottony Mass",Mealybugs
"Deformed Fruit","Boron Deficiency"
"Blossom End Rot","Calcium Deficiency"
"Galls On Roots","Root Knot Nematode"
"Bleached Spots",Sunscald
"Corky Scabs","Scab Disease"
"Oozing Sap","Bacterial Canker"
"Mosaic Pattern","Mosaic Virus"""
